# Database of Chemicals                  
# commentline sstart with #'                 
# Comments must form continuous block at the beginning of the file          
# The last comment line is not really a comment. It containes the names        
# of the variables used in the code. The data has to start in the following line.     
#                     
#                     
# Parameters:                    
#                     
# ID : unique database identifier                
# T0 : standard temperature (K)                
# molmass : molecular mass (g/mol)                
# logKaw : partitioning coefficient air-water                
# logKow : partitioning coefficient octanol-water                
# logKoa : partitioning coefficient octanol-air                
# halflife_air (h)                   
# halflife_veg (h)                   
# halflife_freshwater (h)                   
# halflife_ocean (h)                   
# halflife_soil (h)                   
# halflife_sediment (h)                   
# DUoa : internal energy of phase change octanol-air (J/mol)            
# DUow : internal energy of phase change octanol-water (J/mol)            
# EA_air : activation energy in air (J/mol)              
# EA_veg : activation energy in vegetation (J/mol)              
# EA_freshwater : activation energy in freashwater (J/mol)              
# EA_ocean : activation energy in ocean water (J/mol)             
# EA_soil : activation energy in soil (J/mol)              
# EA_sediment : activation energy in sediment (J/mol)              
# notes : description                  
#                     
#ID Name T0 molmass logKaw logKow logKoa halflife_air halflife_veg halflife_freshwater halflife_ocean halflife_soil halflife_sediment DUoa DUow EA_air EA_veg EA_freshwater EA_ocean EA_soil EA_sediment notes
1 "PCB-3  :  4-Chlorobiphenyl" 298.15 188.6534 -2.06 4.61 6.77 58.6 3100 3100 3100 1700 5100 -68300 -15300 10000 20000 20000 20000 20000 20000 "Partition coefficients and internal energies of phase change from Schenker et al. ES&T, 39, 8434-8441, 2005.  Degradation half-life in air extrapolated from Fig. 2 in Anderson & Hites.  Degradation in other media selected based on Wania & Daly and Mackay half-life classes."
2 "PCB-8  :  2,4'-Dichlorobiphenyl" 298.15 223.0984 -2.06 5.11 7.35 97.2 4200 4200 4200 5500 16500 -73900 -19000 10000 20000 20000 20000 20000 20000 "Partition coefficients and internal energies of phase change from Schenker et al. ES&T, 39, 8434-8441, 2005.  Degradation half-life in air extrapolated from Fig. 2 in Anderson & Hites.  Degradation in other media selected based on Wania & Daly and Mackay half-life classes."
3 "PCB-15  :  4,4'-Dichlorobiphenyl" 298.15 223.0984 -2.17 5.35 7.74 97.2 4200 4200 4200 5500 16500 -78300 -22800 10000 20000 20000 20000 20000 20000 "Partition coefficients and internal energies of phase change from Schenker et al. ES&T, 39, 8434-8441, 2005.  Degradation half-life in air extrapolated from Fig. 2 in Anderson & Hites.  Degradation in other media selected based on Wania & Daly and Mackay half-life classes."
4 "PCB-28  :  2,4,4'-Trichlorobiphenyl" 298.15 257.5434 -1.93 5.92 7.86 550 17000 17000 17000 55000 55000 -77600 -20000 0 30000 30000 30000 30000 30000 "Partition coefficients and internal energies of phase change from Schenker et al. ES&T, 39, 8434-8441, 2005.  Degradation half-life in air extrapolated from Fig. 2 in Anderson & Hites.  Degradation in other media selected based on Wania & Daly and Mackay half-life classes. Revised with values of Lamon et al. 2009"
5 "PCB-29  :  2,4,5-Trichlorobiphenyl" 298.15 257.5434 -1.88 5.65 7.8 161 5500 5500 5500 10000 30000 -82500 -23800 10000 20000 20000 20000 20000 20000 "Partition coefficients and internal energies of phase change from Schenker et al. ES&T, 39, 8434-8441, 2005.  Degradation half-life in air extrapolated from Fig. 2 in Anderson & Hites.  Degradation in other media selected based on Wania & Daly and Mackay half-life classes."
6 "PCB-31  :  2,4',5-Trichlorobiphenyl" 298.15 257.5434 -1.87 5.78 7.94 161 5500 5500 5500 10000 30000 -80400 -21500 10000 20000 20000 20000 20000 20000 "Partition coefficients and internal energies of phase change from Schenker et al. ES&T, 39, 8434-8441, 2005.  Degradation half-life in air extrapolated from Fig. 2 in Anderson & Hites.  Degradation in other media selected based on Wania & Daly and Mackay half-life classes."
7 "PCB-52  :  2,2',5,5'-Tetrachlorobiphenyl" 298.15 291.9884 -1.96 5.95 8.22 268 10000 10000 10000 17000 51000 -81300 -27500 10000 20000 20000 20000 20000 20000 "Partition coefficients and internal energies of phase change from Schenker et al. ES&T, 39, 8434-8441, 2005.  Degradation half-life in air extrapolated from Fig. 2 in Anderson & Hites.  Degradation in other media selected based on Wania & Daly and Mackay half-life classes."
8 "PCB-61  :  2,3,4,5-Tetrachlorobiphenyl" 298.15 291.9884 -2.08 6.14 8.56 268 10000 10000 10000 17000 51000 -93100 -27500 10000 20000 20000 20000 20000 20000 "Partition coefficients and internal energies of phase change from Schenker et al. ES&T, 39, 8434-8441, 2005.  Degradation half-life in air extrapolated from Fig. 2 in Anderson & Hites.  Degradation in other media selected based on Wania & Daly and Mackay half-life classes."
9 "PCB-101  :  2,2',4,5,5'-Pentachlorobiphenyl" 298.15 326.4334 -2.08 6.38 8.83 444 31000 31000 31000 100000 300000 -84400 -19300 10000 20000 20000 20000 20000 20000 "Partition coefficients and internal energies of phase change from Schenker et al. ES&T, 39, 8434-8441, 2005.  Degradation half-life in air extrapolated from Fig. 2 in Anderson & Hites.  Degradation in other media selected based on Wania & Daly and Mackay half-life classes."
10 "PCB-105  :  2,3,3',4,4'-Pentachlorobiphenyl" 298.15 326.4334 -2.39 6.78 9.62 444 31000 31000 31000 100000 300000 -89500 -24400 10000 20000 20000 20000 20000 20000 "Partition coefficients and internal energies of phase change from Schenker et al. ES&T, 39, 8434-8441, 2005.  Degradation half-life in air extrapolated from Fig. 2 in Anderson & Hites.  Degradation in other media selected based on Wania & Daly and Mackay half-life classes."
